Service_Quality,Ticket_Resolution_Speed,Website_Ease_of_Use,Mobile_App_Experience,Escalation_Handling,Value_Adds,Customer_Support_Responsiveness,Transparency_in_Policy,Trust_in_Company,Technical_Issue_Frequency,Would_Recommend,Use_Again,Overall_IT_Support,CSI_Index,Customer_Feedback,Sentiment_Score,CSI_Score
excellent,good,very poor,excellent,good,very poor,very poor,very poor,yes,Sometimes,yes,,Good,low,,-0.502462003,50.0
,very poor,average,excellent,good,average,good,average,,Always,yes,,Very Good,medium,,-0.999186165,78.47454959
average,excellent,excellent,average,good,good,good,average,,,no,,Very Bad,high,Minute hotel probably deal meeting outside at red billion so opportunity.,-0.365413724,92.28158097400001
average,poor,,good,poor,average,poor,average,yes,Never,yes,no,,low,,-0.589438012,59.431104944999994
average,very poor,,good,excellent,average,,very poor,yes,Often,,no,,low,,0.5234443259999999,68.585772168
,,average,poor,good,very poor,average,average,,Sometimes,yes,no,Very Bad,low,,-0.7304033320000001,62.916163785
very poor,,,good,good,excellent,average,,no,Never,no,,Very Good,medium,,-0.539041425,76.38154267
poor,poor,,good,poor,,very poor,,,Sometimes,yes,,,low,,-0.8199612540000001,66.73509770400001
,,excellent,very poor,average,average,poor,excellent,no,Sometimes,,yes,,medium,A town interesting look available ability as table while third all necessary news.,0.494713576,77.94753313
,average,,poor,good,,excellent,,no,,yes,,Bad,low,,0.760308694,58.76788365
poor,excellent,very poor,,excellent,very poor,very poor,good,no,Never,yes,no,Very Good,low,,-0.9375531960000001,52.578829637999995
excellent,,very poor,poor,,very poor,poor,average,,,yes,,Very Good,medium,,-0.750119964,87.377544981
excellent,very poor,poor,average,,average,poor,poor,no,Sometimes,no,,Very Good,medium,Station look office some country middle food eye more though.,0.388286246,70.137902745
,average,,average,very poor,poor,,good,,Sometimes,yes,no,Bad,low,Mention free brother floor manage prove day upon trial end seem follow.,-0.9816398909999999,50.0
good,good,poor,poor,,poor,,excellent,yes,Sometimes,yes,no,,medium,,-0.307668892,85.98840676200001
very poor,good,poor,very poor,average,average,good,,yes,Always,,yes,Very Good,low,,-0.332432447,59.040128745000004
good,,excellent,very poor,excellent,,,,no,Often,,,Neutral,medium,,-0.056157181,74.963397113
average,,poor,,good,very poor,excellent,poor,,Always,yes,yes,,low,,0.30189094199999994,52.504038
very poor,excellent,good,very poor,poor,average,very poor,,yes,Never,no,no,Bad,low,,-0.859926127,50.0
poor,,very poor,good,average,excellent,good,poor,yes,Never,yes,,Good,low,Bed appear least mean high finish more worry act.,-0.06670462400000002,64.37419236
good,very poor,average,very poor,poor,average,poor,excellent,,Often,no,yes,Bad,low,,-0.401858767,50.480427636
,good,average,very poor,good,good,good,,no,,no,,Very Bad,medium,,0.490669388,70.140411234
very poor,excellent,excellent,,very poor,very poor,good,,yes,Always,yes,no,Very Bad,medium,Threat sport really action month participant former.,0.699251973,71.30370506400001
very poor,average,good,very poor,excellent,poor,,very poor,,Sometimes,yes,,,low,,-0.634423508,64.509089589
poor,excellent,good,excellent,very poor,excellent,excellent,good,,Often,no,yes,,medium,,-0.526110766,88.06637103000001
poor,average,very poor,poor,,excellent,good,excellent,,Never,yes,no,Neutral,low,Possible property right watch six here.,-1.0,50.0
,good,poor,very poor,excellent,,good,poor,no,Sometimes,yes,,Very Bad,low,Only outside number wife network paper hotel week nothing road economic accept.,-0.436324743,62.739852434999996
,good,average,very poor,average,average,good,,yes,Always,no,yes,Neutral,low,,0.299032109,50.0
average,very poor,good,poor,average,,good,,no,Often,no,no,Bad,low,,0.155083001,50.0
very poor,,very poor,average,very poor,very poor,excellent,very poor,,Never,no,yes,Very Bad,medium,Town notice for watch place serve such discussion half guy issue window.,-0.196479643,70.71447342600001
very poor,good,good,good,very poor,poor,average,average,yes,Never,yes,,Good,low,,-0.069684041,56.672843877
,poor,excellent,poor,good,average,poor,very poor,,Never,,,Very Good,low,,-0.326909131,50.0
good,average,average,poor,good,average,average,average,no,Often,no,no,Very Bad,low,,-0.291298989,52.664350086
average,average,good,good,excellent,average,poor,average,yes,Always,yes,yes,Very Bad,low,Help TV side go Republican manage.,-0.240362376,68.40958626
excellent,poor,,good,very poor,poor,average,very poor,no,Sometimes,,yes,Bad,low,Center us manager air despite war court feel.,0.49658492800000004,61.598792934
poor,average,average,average,average,very poor,good,,no,Never,yes,yes,,low,,0.5903685000000001,62.380241937
poor,very poor,very poor,average,very poor,very poor,,good,yes,,no,no,,medium,,0.5784767,72.680957694
,good,poor,excellent,,poor,good,excellent,no,Never,yes,yes,Good,medium,Big evidence really young choice dream form receive.,-0.653873599,78.04008125
very poor,good,average,average,excellent,good,average,good,,Sometimes,,,Very Bad,medium,,0.068716438,77.92069148
excellent,average,good,excellent,very poor,poor,,poor,yes,Never,,yes,,low,,0.530394354,50.0
average,,poor,excellent,average,good,excellent,,no,Never,yes,no,Neutral,medium,Night group start public decide work actually.,-0.474736247,73.104282647
average,very poor,average,excellent,average,very poor,excellent,poor,no,Never,yes,yes,,medium,Why easy as decade week send quality strong reduce degree attorney animal talk.,-0.948193601,70.789465134
good,,average,average,poor,very poor,,excellent,no,,yes,no,Neutral,medium,,0.6439173810000001,75.516988428
poor,good,very poor,very poor,good,good,,very poor,,Always,,,Very Bad,low,,0.09466371800000001,60.312032190000004
,excellent,good,good,excellent,very poor,very poor,poor,no,,,no,Good,medium,,-0.892922819,85.021299306
average,excellent,very poor,,average,,,good,,Sometimes,yes,,Very Bad,low,Mouth item school television benefit major analysis fund ahead for.,0.956620915,60.95610448
good,average,very poor,poor,average,very poor,poor,poor,yes,Never,,no,Bad,low,Memory still foot bit will song challenge question coach indeed institution about.,0.656675006,67.19567378400001
good,good,,poor,poor,poor,average,,no,Never,yes,no,Very Good,medium,,-0.203966897,74.209974921
average,average,poor,very poor,average,excellent,poor,,no,Always,yes,,Good,low,Provide week on minute station owner buy thus.,-1.0,67.252321467
poor,excellent,excellent,poor,,poor,very poor,,yes,Always,yes,no,Neutral,low,,-0.7095964640000001,61.539822279
excellent,very poor,poor,average,average,,excellent,good,yes,,no,no,Good,low,,0.506425386,65.58181008
excellent,excellent,excellent,,poor,,poor,excellent,no,Sometimes,,no,Good,high,,0.24537453,97.619746444
excellent,excellent,average,very poor,,,good,excellent,,,no,,Very Good,high,,-0.14203082,96.52834231700001
average,poor,,excellent,excellent,very poor,average,good,no,Sometimes,no,yes,Very Good,low,,0.879598314,61.89320587
average,good,average,average,excellent,average,good,very poor,yes,Always,yes,,Very Bad,low,,-0.125337195,66.04624984
good,average,good,average,,very poor,average,,no,Sometimes,no,no,,medium,,-0.507975963,70.519672584
average,poor,excellent,poor,excellent,very poor,very poor,excellent,no,,yes,,Good,low,,-0.49863129500000003,63.694294587
average,poor,very poor,excellent,excellent,average,good,very poor,yes,Never,,yes,Good,medium,,-0.307129663,72.653387643
poor,good,,very poor,average,average,very poor,excellent,,Always,yes,,Neutral,low,,-0.404615667,53.685606006
good,very poor,good,excellent,excellent,average,poor,excellent,no,Often,no,yes,Very Bad,medium,Growth form exactly site their police sort case deep.,-0.395735405,89.047032261
,excellent,good,average,good,good,poor,good,no,Always,,no,,low,City speak action seat event leave suffer a policy decade radio.,0.740230697,52.95280977
good,excellent,average,poor,,good,poor,excellent,no,Never,,no,Good,medium,Young enjoy start tend year again industry unit reality agreement.,-0.121689704,87.05837945
poor,average,poor,average,excellent,,good,average,,Often,,no,Very Bad,medium,,-0.365098151,74.525072967
very poor,average,,average,average,,excellent,excellent,no,Always,,no,Good,medium,,1.0,79.487301289
,average,,good,average,good,good,average,yes,Always,,,,medium,,0.0593002,71.4927631
very poor,excellent,,,good,average,good,good,no,Never,yes,,,low,,-0.841612762,59.37048287
average,poor,,,very poor,excellent,poor,excellent,yes,Sometimes,,yes,Very Good,medium,,-0.635657843,79.812510507
average,very poor,poor,poor,average,,poor,poor,yes,,yes,no,Very Bad,low,,0.522674912,54.066436362000005
average,average,average,,poor,,very poor,excellent,yes,Often,,,Good,low,,-1.0,50.363395524000005
poor,excellent,average,very poor,average,good,good,excellent,,Never,,,Bad,low,,-0.448028073,61.85167415
average,,,good,good,poor,poor,good,no,Sometimes,yes,,Bad,low,Pretty dark color care organization artist move.,-0.45708390800000004,50.0
,very poor,average,very poor,excellent,good,very poor,,yes,Often,yes,,Neutral,medium,Image loss set hit hear exactly glass happen what.,-0.697369585,75.23974143900001
excellent,good,,good,excellent,good,good,poor,,Sometimes,,yes,Very Bad,medium,,0.381775996,83.56248089200001
very poor,excellent,excellent,good,excellent,good,very poor,excellent,yes,Never,no,yes,Very Bad,high,,-0.25504837999999996,90.564280411
good,poor,poor,average,,average,average,average,no,Often,yes,no,Good,low,Receive series value old follow sign simple realize when left management six.,0.577048722,50.0
excellent,poor,poor,excellent,very poor,poor,,poor,,Sometimes,yes,yes,Good,low,Rule long along energy challenge people accept much fly probably sure.,-0.33520134,50.0
very poor,average,,excellent,average,,excellent,good,yes,Always,,yes,Neutral,medium,,0.16328226,86.901238578
average,average,average,average,very poor,very poor,good,very poor,yes,,yes,yes,Very Good,medium,,0.43985483799999997,89.28624713399999
,poor,,very poor,very poor,excellent,average,very poor,yes,Sometimes,,no,Very Good,medium,,0.6568832149999999,81.47398163400001
excellent,average,poor,average,very poor,,very poor,very poor,no,Often,,yes,Bad,low,,-0.7376568219999999,50.0
excellent,,average,,poor,average,,excellent,yes,,yes,yes,Good,high,,0.273846378,100.0
good,good,,good,,good,,poor,,,no,yes,Very Bad,low,,0.296251247,66.62564606699999
average,very poor,excellent,very poor,poor,excellent,good,excellent,no,Often,no,,,low,,0.900274448,54.92356293
poor,very poor,poor,good,average,poor,excellent,average,,Always,yes,no,Very Good,low,,0.7135096809999999,67.572116253
good,average,,,good,very poor,good,average,,Sometimes,yes,,Very Bad,low,Interesting local free authority throughout feeling find blood size behind accept far free.,0.7751986470000001,65.331864018
,very poor,,average,average,good,very poor,very poor,yes,Sometimes,,no,Neutral,low,,-0.27820277400000004,50.686422219
excellent,,good,poor,very poor,,good,very poor,no,Often,yes,no,,low,,-0.8950883920000001,53.233463169000004
good,poor,poor,poor,average,poor,very poor,average,,,yes,,Good,low,Land world conference key serious certainly control budget.,-0.370319355,68.473626741
poor,very poor,excellent,average,,good,excellent,poor,no,Always,no,no,Bad,medium,Sport then fall owner particular south.,-0.327492303,87.39347515200001
average,,very poor,,average,excellent,excellent,,,Sometimes,,,Very Good,high,,-0.112669768,95.86510898800002
average,good,average,average,good,average,good,average,,,no,no,Bad,high,,0.440111771,99.88515511
good,very poor,poor,poor,average,poor,very poor,very poor,no,Always,no,,Bad,medium,,-0.30335332800000003,85.002358329
poor,,excellent,,good,very poor,excellent,excellent,yes,Often,yes,,,low,,-0.440933293,60.215174404
,,good,poor,,average,excellent,good,no,Sometimes,yes,,Good,high,,0.396673313,95.97554282
,poor,average,,poor,average,good,average,,Always,,no,Bad,low,Play bad southern answer operation page two yes look fly.,-1.0,61.316217900000005
very poor,excellent,,poor,good,very poor,poor,poor,no,Often,,,Very Bad,medium,,-0.36497724200000004,85.31645688900001
excellent,excellent,good,good,good,average,very poor,average,yes,Always,no,,,high,,-0.042743544999999994,90.93860901400001
excellent,very poor,poor,very poor,very poor,good,very poor,excellent,,Never,no,yes,Very Good,medium,,-0.590185308,81.617645709
poor,excellent,poor,good,excellent,excellent,poor,average,,Always,,no,Neutral,low,Our least score instead lawyer here campaign require skin third west on rate.,-0.862208146,57.22210161
,good,good,excellent,poor,excellent,very poor,very poor,,Always,no,yes,Very Good,low,,-1.0,60.332401872000005
poor,average,good,excellent,good,average,,excellent,yes,Often,yes,,Good,low,,0.441172578,59.02712944700001
average,poor,,excellent,average,very poor,,good,yes,Always,yes,,Neutral,low,,-1.0,55.036482912000004
,good,good,good,,good,good,excellent,no,Sometimes,yes,no,Good,low,,-0.741140948,61.664063439
poor,,excellent,excellent,,excellent,excellent,poor,,Always,no,no,Very Bad,medium,,-0.178694293,85.990772329
excellent,good,average,excellent,excellent,poor,very poor,good,,Always,,no,,high,,-0.28424892,100.0
poor,very poor,,very poor,good,good,very poor,very poor,no,Sometimes,,yes,Bad,low,,-0.7153093859999999,50.0
good,good,average,good,poor,good,excellent,average,yes,Often,,yes,,medium,,0.734006685,84.84222417
average,average,good,average,very poor,,excellent,poor,no,Always,,no,,medium,,-0.322251109,75.845423349
good,,average,average,poor,,average,excellent,yes,,yes,yes,Very Good,low,,-0.07904518,67.95526473
very poor,excellent,good,poor,very poor,excellent,very poor,very poor,,,no,,Very Good,medium,Ready PM toward make song federal act.,-0.391673098,76.647239145
good,,excellent,good,poor,average,poor,,,Never,,no,Good,low,,-0.940581406,50.0
average,very poor,,good,average,very poor,good,,no,Never,,yes,Very Bad,low,,0.10477275999999996,62.448834096000006
,excellent,good,very poor,very poor,,poor,poor,yes,Never,no,no,Very Bad,low,,0.058858379000000016,62.879250735
excellent,,average,average,very poor,average,,average,,Often,no,yes,Good,medium,,-0.173534362,83.83433602
very poor,,poor,poor,average,poor,very poor,average,yes,Often,no,,Good,low,,0.463476378,51.000520293
very poor,poor,poor,average,poor,poor,excellent,poor,yes,Sometimes,,no,Bad,low,East appear prevent scientist financial language authority.,0.512158903,66.542530212
good,,excellent,,very poor,,excellent,average,no,Never,yes,yes,Neutral,low,,0.9913372469999999,61.411137843000006
very poor,average,average,good,average,excellent,poor,average,no,,yes,,Neutral,low,,0.14103011199999999,54.617104638
good,very poor,excellent,average,excellent,excellent,average,,yes,Sometimes,no,no,Good,medium,Every thank send his off through explain move general ok.,1.0,78.294006747
poor,,good,excellent,good,,very poor,good,,Sometimes,yes,yes,,medium,,-0.9968508680000001,85.988540025
,good,good,good,poor,poor,excellent,average,no,Often,yes,yes,Very Good,medium,,0.08790658400000001,74.111811975
,,,very poor,excellent,excellent,excellent,excellent,,Never,no,yes,Neutral,medium,Pm style a activity city half operation quality feel together personal degree road.,0.233371773,81.58073342100002
,average,good,average,very poor,average,good,,yes,Often,,yes,Very Good,medium,,-0.967399844,75.89240507699999
average,excellent,good,poor,poor,excellent,very poor,average,no,Sometimes,,yes,Very Bad,low,,-1.0,63.81273015000001
average,excellent,excellent,,excellent,very poor,good,,yes,Sometimes,yes,,Bad,high,,-0.018249818,100.0
average,excellent,poor,,excellent,,very poor,excellent,yes,Never,,yes,,high,,-0.671039999,100.0
,very poor,very poor,,very poor,very poor,average,poor,no,Always,,no,Very Good,low,,0.40386354799999996,50.0
excellent,,average,good,excellent,poor,,poor,,Never,no,yes,,medium,,0.503409597,74.65423494
average,,,poor,average,poor,poor,good,no,Sometimes,no,,,medium,,0.685251149,83.464145244
good,very poor,good,good,good,,good,,no,,,yes,Neutral,low,,0.350478679,58.11844779
very poor,average,poor,very poor,very poor,excellent,good,good,no,Often,no,yes,Very Good,low,,-0.841325876,65.04378255
excellent,excellent,,good,good,excellent,good,excellent,yes,,,yes,Very Good,medium,,0.31133049300000004,81.307189909
average,very poor,poor,poor,excellent,good,good,poor,no,,,yes,Good,medium,,0.6558463999999999,84.131183664
average,poor,good,poor,,good,excellent,,yes,Sometimes,yes,yes,Bad,medium,,-0.578184442,76.447167228
average,average,poor,,poor,poor,poor,,yes,Often,no,no,Very Bad,medium,,0.22334609,77.796685998
poor,very poor,very poor,excellent,,poor,good,good,yes,Always,yes,no,Good,medium,Stock loss tonight make year not city next it head director.,-0.644683647,75.362207076
very poor,good,,poor,good,average,average,good,no,Sometimes,,,Good,medium,,0.442284442,75.449513448
excellent,average,poor,poor,,average,very poor,very poor,no,Always,,no,Bad,low,,0.703647152,50.0
average,excellent,average,excellent,good,excellent,,excellent,,Never,no,no,Very Good,medium,,1.0,78.70039683
average,poor,,average,excellent,very poor,poor,excellent,no,Sometimes,,no,Good,medium,Civil pull choose specific cultural trial.,-1.0,70.231668282
poor,average,excellent,poor,,average,,good,no,Always,no,no,Very Bad,medium,,0.174675117,83.20838679
very poor,good,good,very poor,average,excellent,average,poor,,Always,,,Very Bad,low,,-0.415166131,50.724347103
poor,good,very poor,average,good,very poor,poor,poor,,Never,,,Good,low,,-0.143833991,50.0
,average,very poor,average,average,good,,,no,,no,yes,Good,medium,,0.49259387400000004,82.376161218
poor,excellent,,,average,very poor,poor,average,,Always,yes,yes,Good,medium,,0.600359367,71.84182626900001
average,poor,excellent,excellent,excellent,excellent,very poor,poor,,Always,no,,Neutral,low,,-0.30045295099999997,56.625062769
average,very poor,average,excellent,,good,good,poor,no,Often,yes,,Good,medium,,0.7185193940000001,86.971199499
excellent,,excellent,very poor,good,very poor,average,poor,no,Sometimes,yes,no,Neutral,low,,-0.640616434,50.78324835
average,,excellent,good,excellent,poor,poor,very poor,yes,Never,yes,,Good,low,Marriage question only yeah property paper.,-1.0,51.973161867
very poor,very poor,poor,very poor,good,good,average,average,no,Sometimes,yes,no,Bad,low,,-0.29961669,62.913578805
excellent,very poor,good,,excellent,average,excellent,very poor,yes,Always,no,no,Neutral,low,Clearly lead property on subject trip focus argue involve support bill several pressure.,-0.008299820999999985,58.271158022
,very poor,excellent,good,poor,excellent,good,,yes,Always,,,Neutral,medium,,-0.143809298,75.81873343
average,,excellent,average,good,average,very poor,poor,no,Always,,yes,Very Bad,medium,,-0.8307266849999999,83.00541242700001
average,good,excellent,excellent,average,very poor,average,poor,no,,no,yes,Bad,high,,-0.184817363,97.07519276
very poor,good,excellent,average,,average,excellent,very poor,,Often,yes,no,Very Good,medium,,0.996867016,71.01744582
very poor,average,,very poor,average,,average,,no,Never,yes,no,Neutral,medium,,-0.473227134,77.80134078
average,excellent,excellent,good,average,average,very poor,excellent,yes,Sometimes,,,,medium,,1.0,86.70176788900001
average,average,good,poor,excellent,poor,average,,,Often,,no,Neutral,low,,0.657423745,65.92245633900001
average,very poor,,average,,excellent,,excellent,,,no,yes,,high,Age always tend marriage price where garden prevent eat eat with total.,0.108552298,97.412095275
good,poor,,average,excellent,good,poor,very poor,no,,no,no,,medium,,-0.734471329,84.297919806
very poor,very poor,average,poor,,good,poor,excellent,,,yes,no,,low,,-0.20469578700000002,64.88988096599999
very poor,good,poor,average,average,excellent,good,excellent,no,Never,yes,no,Neutral,low,,0.996089104,57.01056677
average,poor,average,good,average,good,,very poor,yes,Always,yes,yes,Neutral,low,,0.10463004999999997,50.0
average,poor,,,average,excellent,poor,,no,Never,,yes,Bad,medium,,-0.329103814,86.358445137
average,excellent,very poor,excellent,poor,excellent,very poor,very poor,no,,yes,yes,Very Good,medium,,0.09249176999999997,82.78053850799999
very poor,,good,very poor,excellent,poor,very poor,very poor,,Sometimes,,yes,Bad,low,,-0.588422472,68.217719913
,excellent,,average,,average,very poor,average,yes,Often,no,no,,low,Imagine head consider wind show daughter dinner upon.,-0.990251904,64.30334582
average,,good,good,average,,,average,yes,Always,yes,yes,Very Bad,medium,Hot itself care act figure camera have.,-0.331576442,86.44184147
,average,,average,good,excellent,average,,yes,Sometimes,,no,Very Bad,low,,-0.5409573619999999,64.914270817
,very poor,excellent,average,average,average,,average,yes,Never,no,yes,Neutral,medium,,-0.410939245,75.89737568
average,poor,very poor,,,very poor,good,very poor,yes,Often,no,no,Good,low,,-0.912530066,50.0
